Date,AAPL,AMZN,GOOGL,JNJ,JPM,META,MSFT,NVDA,PG,XOM
1/2/2015,24.23754883,15.42599964,26.27894402,76.95555115,46.51112366,77.90579987,39.85845184,0.483011365,66.51834869,57.91688919
1/5/2015,23.55473518,15.10949993,25.77822685,76.41808319,45.06719589,76.65454102,39.49192047,0.474853218,66.20206451,56.33220291
1/6/2015,23.55695152,14.76449966,25.14203453,76.04257965,43.89865112,75.62174988,38.91228867,0.46045652,65.9005127,56.03272629
1/7/2015,23.88728142,14.92099953,25.06809235,77.72129059,43.96562958,75.62174988,39.40668869,0.459256798,66.24621582,56.60046768
1/8/2015,24.8050766,15.02299976,25.15543556,78.33240509,44.9481163,77.63768768,40.5659523,0.476532876,67.00376129,57.54257965
1/9/2015,24.83169174,14.8465004,24.84825516,77.2647934,44.16659546,77.200737,40.22499847,0.478452504,66.37858582,57.46145248
1/12/2015,24.21981621,14.57050037,24.66662598,76.99974823,43.78700638,76.18779755,39.7220726,0.472453773,66.13587952,56.35713959
1/13/2015,24.43485641,14.73700047,24.90184975,77.13227844,43.79444885,75.9196701,39.5174942,0.471733958,66.41536713,56.15126419
1/14/2015,24.34174919,14.66349983,25.10679817,76.57269287,42.28352356,75.75084686,39.17652893,0.473653495,66.1873703,55.98903656
1/15/2015,23.68110847,14.34749985,25.01152039,75.46089935,40.92891693,73.53633118,38.76737213,0.470294297,66.09175873,55.50239182
1/16/2015,23.49710464,14.5369997,25.331604,76.60214996,41.62854385,74.65847778,39.41520309,0.47893241,67.11407471,56.85003281
1/20/2015,24.10231209,14.47200012,25.30579758,74.57740784,41.46479416,75.71113586,39.54306412,0.480371952,67.06996155,56.83130646
1/21/2015,24.28632545,14.86250019,25.82437706,75.0265274,41.59878159,76.20766449,39.14243698,0.487090468,67.20623779,57.31797028
1/22/2015,24.91814232,15.51599979,26.66353416,76.39601135,42.86408234,77.11135864,40.17383957,0.495488524,67.86552429,57.94185638
1/23/2015,25.04672623,15.61950016,26.89429474,75.24742126,42.18676758,77.2901001,40.21645737,0.496928364,66.72476959,56.70653152
1/26/2015,25.07332611,15.4829998,26.63475609,75.29159546,42.25375748,76.96239471,40.07155609,0.494768769,66.35442352,57.24932861
1/27/2015,24.19543266,15.33749962,25.86407661,75.16640472,41.82950592,75.25431061,36.36359787,0.471014172,64.06555939,56.74397659
1/28/2015,25.56326485,15.19550037,25.42936325,74.71730042,40.75027084,75.71113586,35.11055374,0.463335782,63.0729866,54.87225723
1/29/2015,26.35914421,15.58899975,25.46906281,75.37992859,41.43502808,77.45893097,35.80953598,0.474613249,63.45816422,54.64142609
1/30/2015,25.97339821,17.72649956,26.67594528,73.73069,40.47489166,75.38341522,34.43715286,0.460696489,62.43596268,54.54158783
2/2/2015,26.29928207,18.2234993,26.41045189,74.23869324,41.28617096,74.46980286,35.18727112,0.470774174,63.05077362,55.88919449
2/3/2015,26.30372047,18.17749977,26.4650383,75.4388504,42.21652985,74.87696075,35.46003342,0.482531428,63.66559601,57.55501556
2/4/2015,26.50545311,18.23749924,26.10773849,74.62891388,41.96347809,75.10536194,35.66463089,0.48373124,63.54706192,57.06216431
2/5/2015,26.69464302,18.69449997,26.29284096,75.4388504,42.25375748,75.085495,36.18458557,0.491649598,64.22112274,57.62366867
2/6/2015,26.46985054,18.7140007,26.49382019,74.43749237,43.08735275,73.95342255,36.15050125,0.489489943,63.41372681,57.51680374
2/9/2015,26.64567566,18.52799988,26.26554489,73.46561432,43.03525925,73.92362213,36.10788727,0.489010036,62.99892426,57.55451965
2/10/2015,27.15757751,18.64999962,26.80546379,73.88529968,43.51161957,74.66841888,36.31245041,0.502687037,63.25076294,57.2087822
2/11/2015,27.79410934,18.75699997,26.69827271,73.90737915,43.44462967,75.97924805,36.12491226,0.499327809,63.43594742,56.95105743
2/12/2015,28.14577293,18.85849953,27.09577179,72.47901154,44.33778,75.70120239,36.73013687,0.535079837,63.724823,58.06370163
2/13/2015,28.28376389,19.09149933,27.35134315,73.34781647,44.41222763,75.21459198,37.39500809,0.535319686,63.62856674,58.69228745
2/17/2015,28.45069122,18.77149963,27.0461483,73.9515686,44.73225021,75.07556152,37.4121666,0.536999345,63.32486343,58.49113846
2/18/2015,28.6487751,18.6685009,26.92902946,73.5981369,44.1889267,76.1778717,37.36925125,0.530760527,63.89518356,57.2087822
2/19/2015,28.58867836,18.95000076,27.11760521,74.14298248,44.0847168,78.86907196,37.34349442,0.532200336,63.11743546,56.22187424
2/20/2015,28.82237434,19.18300056,26.88685036,74.33576202,44.50897598,79.34575653,37.6525383,0.536039531,62.86558914,56.52362061
2/23/2015,29.60135269,19.00699997,26.54939842,74.27643585,44.17404556,78.29309082,37.90150452,0.5317204,63.25076294,55.95159149
2/24/2015,29.4166317,18.92950058,26.73053169,74.66200256,45.26816559,77.90579987,37.84999847,0.537381053,63.3322258,56.20932007
2/25/2015,28.66435242,19.26849937,27.16127968,75.04013062,45.50632858,79.00809479,37.76415634,0.533286273,63.30263519,56.32249069
2/26/2015,29.02713203,19.23999977,27.75479317,76.21898651,45.83382797,79.852211,37.82422638,0.534731328,63.08779907,55.72531509
2/27/2015,28.59091187,19.00799942,27.92053986,76.00398254,45.61053085,78.42220306,37.64395905,0.531359076,63.05818176,55.65616226
3/2/2015,28.73112106,19.28300095,28.53539276,76.53038025,45.97523117,79.1967926,37.66971207,0.544366121,63.26556396,55.34186172
3/3/2015,28.7912178,19.23049927,28.72248268,75.87792969,46.12408829,79.04781342,37.15462494,0.534249604,63.08042145,55.07784271
